0,1,2,3,4,5,6,7,8,9,10
"[-1.8773369788574752, 1.916942970196784]","[-1.8959374607576165, 1.860923845132794]","[-0.102242860998987, 1.5355016610580614]","[0.1581655905661906, 1.9330164503160963]","[-1.2202884496202395, 2.163308090543087]","[0.9627813711554384, 2.5661385894690003]","[-1.4278978145959151, 2.6761097338130573]","[-1.3645485684566496, 2.0695423805842115]","[-1.8770450581862477, 8.0]","[-1.8708523255393112, 9.0]","[0.2605314564564294, 1.5755118760429276]"
"[0.1798118147280452, 1.2906609027250073]","[-0.4776128246534367, 1.896575247713663]","[-1.0227224531125827, 1.1356706404038768]","[-1.883187343131268, 3.0]","[-1.6515562674627655, 1.3755435755890209]","[-1.36497066439118, 0.20860187262918017]","[-1.3729015066920494, 0.3235676780561244]","[-0.2346863653236769, 1.8695568394175812]","[-1.5725774254669251, -0.18808250297188112]","[-0.7396870458983218, 1.1258361542535287]","[-0.949888744043222, 0.3973397321851243]"
"[-0.9033780523871536, 0.6797875292753288]","[-1.2232423326831985, 2.1764646041257683]","[-0.2251589759522626, 1.2076340410274473]","[-1.883187343131268, 3.0]","[0.4914902820937925, 1.8139040694948902]","[0.1140944954043102, 1.3580302576131502]","[-0.4125004685813004, 0.8096339511969912]","[-0.8385071530122012, 0.6152799683988852]","[-1.5157899061495552, 1.803551145191339]","[-1.8708523255393112, 9.0]","[-0.2866138394237123, 1.9050365547753654]"
"[0.2691807141786347, 2.4923210470163473]","[-1.408469203749017, 0.5876426252428613]","[-0.534132850499517, 1.8873685773712947]","[-1.414825783905392, 2.191591619814501]","[-1.878924958092792, 4.0]","[1.2286567226869043, 2.424510300123619]","[-1.4591878646766214, 0.2475283397960335]","[-1.678453091231557, 2.097253089608161]","[-1.8770450581862477, 8.0]","[0.5949559876670137, 2.4111677797853095]","[-1.134177606894712, 0.8053150771818116]"
"[-1.8773369788574752, 1.916942970196784]","[0.4257410710417143, 2.320287223885748]","[-1.4825015996806392, 2.6263979668345785]","[-1.883187343131268, 3.0]","[0.7678517813555292, 2.6768293410729154]","[-0.8438844770249131, 1.3317077223555929]","[-0.5842324763295774, 1.7804223284925162]","[-0.409762136035923, 2.6222931395568763]","[-1.2424298968087863, 2.2243790130083614]","[-0.3072925330787329, 1.086998360067911]","[-1.3971013556801593, 1.6879489997227943]"
"[-1.161242252086789, 1.208561392522256]","[-1.8959374607576165, 1.860923845132794]","[-1.5369052569958532, 0.9087318546129578]","[-1.883187343131268, 3.0]","[-1.0418149568381028, 0.513506243310458]","[-0.3062869433897922, 1.112666557634645]","[-1.4929836242301653, 1.4393922926665335]","[-1.890105597825969, 7.0]","[-1.8770450581862477, 8.0]","[0.6993629851069009, 2.1989634783809726]","[-0.7911293086684378, 1.098145716070501]"
"[-0.3275157468719998, 2.2891068766384324]","[-1.6811009489014463, 0.44946005087095964]","[-0.4677792945196715, 2.026028232297354]","[0.5047676260430172, 1.8607888631032417]","[1.011373431375001, 2.633518104662948]","[-1.8983699700603205, 5.0]","[-0.6450768565878691, 1.1790289320585219]","[-1.890105597825969, 7.0]","[-1.8770450581862477, 8.0]","[-1.8708523255393112, 9.0]","[-0.1673725318121097, 1.4727544698556039]"
"[-0.4178604755806709, 1.172422974798364]","[0.9107563606140452, 2.2389973192417623]","[0.1054767403426387, 1.7540591729745079]","[0.2418829721535919, 2.5449895319469586]","[-0.7936461010548594, 2.338198552151301]","[-0.4054957778895193, 2.4288010690871875]","[-1.891391774852884, 6.0]","[-0.4717597636520589, 1.6628755212780422]","[-1.8770450581862477, 8.0]","[-1.4926230274693948, 1.6608699279675463]","[0.0376394546796158, 1.6305350591845538]"
"[-0.9952268683093156, 2.5302507239878667]","[-1.085343432441609, 1.4688693020593564]","[-0.5150116107611331, 2.2404593237917254]","[-1.883187343131268, 3.0]","[-1.1448511581401943, 1.5673039799304649]","[0.0424276625848196, 2.675376051933199]","[-0.6895328161752036, 2.705811686371465]","[-1.890105597825969, 7.0]","[-1.1774129069300034, 0.7805633180275033]","[-1.0871109031435824, 2.084543710792266]","[0.8505131475124951, 2.2202862207888945]"
"[-1.28605627115411, 1.6502472977621108]","[0.017974444683254, 1.1235803571422542]","[-0.9891933298281518, 0.4727196471280105]","[-1.518456823682026, 1.6735024790778565]","[-1.4647309579894443, 1.8337594772250205]","[-0.636778955543695, 2.788222854128961]","[1.5165541954735144, 2.708641452675348]","[-0.9250737204619822, 0.5034166092162401]","[-0.2233539844962624, 1.3396172316721748]","[-0.9384103025706404, 1.9376835956458347]","[-1.8886365873419335, 10.0]"
"[-1.8773369788574752, 1.916942970196784]","[-0.608379083714423, 1.0134981425894631]","[-0.1086292808714774, 1.9605169194581245]","[-0.283437084957809, 1.5913817189703963]","[-1.480494901521464, -0.05184400408802681]","[-1.8983699700603205, 5.0]","[-1.1226816295023092, 1.2417388130597362]","[-1.890105597825969, 7.0]","[-0.0686723717098417, 2.26060238972771]","[-1.8708523255393112, 9.0]","[-1.5027755981190123, 1.1294264925609856]"
"[-0.8601602831242936, 1.7638297689105589]","[-0.8855190905998666, 0.5030751421407833]","[-1.903740493650988, 2.0]","[1.1922535715569067, 2.3519961372606413]","[-1.878924958092792, 4.0]","[-1.6766701387207483, 1.710163949917753]","[-1.147546190247634, 2.5543244313695945]","[0.0868817459128401, 2.1732057606575284]","[0.3320777273891993, 1.9976393075693926]","[-1.650908554302304, 2.167561403497404]","[-1.8886365873419335, 10.0]"
"[-1.7419964299053263, -0.19894443624988312]","[-0.544988327509957, 2.331997938841896]","[0.4143061854265032, 2.041291765423943]","[0.3328569912526576, 2.355410372330417]","[-1.878924958092792, 4.0]","[-1.8983699700603205, 5.0]","[-0.0115817896277251, 1.826627964074211]","[-1.1935310724326134, -0.020435926662222492]","[-1.8770450581862477, 8.0]","[-1.401901177316285, 2.163217164405156]","[-1.8886365873419335, 10.0]"
"[-0.6011259585677615, 0.8176291924300226]","[-0.9872131501057226, 2.7862311045087376]","[-1.903740493650988, 2.0]","[-1.7545730828240138, 1.6507608094574815]","[-0.7112185263811374, 0.329684613759756]","[-1.8983699700603205, 5.0]","[-1.5695657467066244, 1.8983388348368937]","[-1.890105597825969, 7.0]","[1.088618367829761, 2.130958117206942]","[0.7054313722764862, 2.445337648876733]","[-1.4709246904561029, 2.5524504343451238]"
"[0.1061082559383465, 1.8186745463145078]","[1.0146536422728345, 2.512791112536364]","[-0.7988299143491328, 1.4695559116210144]","[0.3572568371011927, 2.6507784901357487]","[-1.7595400908197292, 0.5301790551074488]","[-1.8983699700603205, 5.0]","[-0.6262136039824703, 1.758195054512708]","[-1.6067629290574743, 2.4342617669351245]","[0.9312051572059024, 2.124293690874976]","[-1.1825949187049811, 0.6770867026064114]","[-1.38195535237179, 1.6371618462655642]"
"[0.1724229747983642, 2.1895116119483595]","[-0.1967129166595754, 1.9107563606140452]","[-1.341961338765882, 1.1054767403426387]","[0.0568396804083998, 2.5449895319469586]","[-1.878924958092792, 4.0]","[0.6873493152555459, 2.4288010690871875]","[0.8924860817280751, 2.791153892193673]","[-0.5392101288848515, 0.528240236347941]","[-1.8770450581862477, 8.0]","[-1.4926230274693948, 1.5987278503972988]","[-0.1820083443441953, 1.0376394546796157]"
"[-1.8773369788574752, 1.916942970196784]","[-0.6016512283730586, 1.0654320012491805]","[-1.2023947166151756, 0.7726296478871786]","[-1.883187343131268, 3.0]","[-0.4781887126555875, 2.3260957390505546]","[-1.0560955017261298, 1.4504802940814516]","[-0.9364701678830044, 2.618619818280918]","[-1.2175316476001672, 1.0165959688024386]","[-1.8770450581862477, 8.0]","[-1.8708523255393112, 9.0]","[-1.4869329872040906, 2.6267373058921457]"
"[-1.8773369788574752, 1.916942970196784]","[1.1058677248809876, 2.793980489859601]","[1.1620695360857547, 2.732815696754435]","[-0.2339540377684736, 1.7000451101006355]","[-1.3806568307533955, 2.2660146888509756]","[0.3292481275530877, 1.3874121773782395]","[0.100368814847614, 1.137760557448261]","[-1.890105597825969, 7.0]","[-1.5981103086226396, 0.421120044509286]","[-1.8708523255393112, 9.0]","[-0.5521867878824345, 1.308928593854307]"
"[-1.439094805008074, 0.9983609051410132]","[-0.2565024057077057, 1.9996602116314341]","[0.1689951339622265, 1.730444802475279]","[-1.4263091359444395, 0.11605179628516105]","[-1.7940959450054694, 0.4382800272113285]","[-1.5802520361464365, 1.9448994163628663]","[-1.891391774852884, 6.0]","[-0.3975599285132878, 2.444518478067094]","[-1.64098453436713, -0.48065817921703635]","[-0.2590777360061178, 1.8474275551473127]","[0.0161868029493445, 1.9905075786761781]"
"[-1.3130989101153652, -0.1869764499691733]","[1.0595401281138637, 2.3233971626088836]","[-0.8296617918595414, 0.6835545196120987]","[-1.883187343131268, 3.0]","[-1.878924958092792, 4.0]","[-1.3514118668862172, 0.07435975874926759]","[-1.891391774852884, 6.0]","[0.2688009876735459, 2.454364908547202]","[-0.7094706438551899, 2.5193842115903085]","[-0.9991819670275838, 1.858592065477501]","[-1.8886365873419335, 10.0]"
"[1.3570033838435842, 2.4511873370761528]","[-1.8959374607576165, 1.860923845132794]","[-1.2260314767287417, 0.702660428076654]","[-1.883187343131268, 3.0]","[-1.878924958092792, 4.0]","[-1.0006634312080158, 0.6861736023750765]","[-0.1189643456693995, 1.5543569216720985]","[-1.890105597825969, 7.0]","[-1.686052952039646, -0.020615065899412643]","[0.5378388758012279, 1.8495296159791859]","[-0.5489912429106493, 1.6061066174206848]"
"[-1.8773369788574752, 1.916942970196784]","[-1.7450396074089356, 0.12903960931730696]","[-0.3376276477313888, 2.429103927981841]","[-1.2211412635973349, 0.22212908263449427]","[-1.36303044799645, 2.396063888499773]","[-0.0758196623958415, 1.97033296334306]","[-1.891391774852884, 6.0]","[-1.498963019460411, 0.6833964295646648]","[-1.8770450581862477, 8.0]","[0.6264321690150024, 2.1220919442365522]","[-1.4063758859485995, -0.08029672870251048]"
"[-1.0409602531860394, 2.306288289833846]","[-1.4313434746392135, 0.14560042096178605]","[-0.151245905241672, 2.1525814564973693]","[-0.0257742134156806, 2.0674625463991707]","[-1.2622434897203516, -0.15057421619758804]","[0.2455607691833512, 2.550242230607737]","[0.3967737910492821, 1.8450759604695097]","[-1.890105597825969, 7.0]","[-0.1907064669441796, 1.9790640751648367]","[-1.0364477476237903, 2.0424715540807714]","[-1.8886365873419335, 10.0]"
"[0.0884680508442171, 1.3104274297639276]","[-1.5179957326576945, 2.6657040210162606]","[0.4113257514196229, 2.469790069377723]","[-0.4804596190614528, 2.0246360615049133]","[-0.3097177717826619, 1.5944281275957175]","[0.0348886007044352, 1.6895947393802806]","[-1.751725015491366, 1.0651544405667381]","[-0.6835308624959557, 2.752330388992069]","[-0.3040197699206236, 1.0025755293064098]","[-1.0447133220757927, 0.3759588756181188]","[-1.2434479046601858, 2.3953617320784755]"
"[-1.59919145240267, 1.1276150788480406]","[-1.8959374607576165, 1.860923845132794]","[-1.903740493650988, 2.0]","[-0.3086839253389216, 2.0391806464606876]","[-0.6145053018806603, 0.5225659757246155]","[0.101277162481307, 1.5368048872369156]","[-1.4645214492328509, 0.09859281477038595]","[-0.029248950587907, 2.2659167277232717]","[0.6590688026688555, 1.9567723381263216]","[-1.4665224355172235, 1.567633068693123]","[-1.8886365873419335, 10.0]"
"[-1.8773369788574752, 1.916942970196784]","[-1.7532093683469891, 1.6008659365369653]","[-0.5129541832444156, 0.93126024902616]","[-0.191021088622683, 1.5719186664537736]","[-0.2408596121511795, 2.703819263934763]","[-1.0141534213686032, 1.3746061868385555]","[0.096355359895955, 2.3522064892463]","[-1.508589648436807, 1.1059111348205204]","[-1.0635592484897385, 2.3915161164837615]","[0.0430810508429973, 1.2998311419498985]","[-1.6058556318253314, 0.3458089114958328]"
"[0.7174803760746071, 2.628733441128163]","[-1.8959374607576165, 1.860923845132794]","[-1.903740493650988, 2.0]","[-1.883187343131268, 3.0]","[-0.6123208803926373, 1.1546971191155828]","[-0.6027360033312659, 0.8174913422121282]","[-1.2035205110360607, 0.37198608679699174]","[-0.7887555366233877, 2.259762089709211]","[-1.8770450581862477, 8.0]","[-0.6421372761108666, 1.0365532834382962]","[-1.173527579913503, 1.527345630603415]"
"[1.1558967863225096, 2.49013687600375]","[-0.0313256225001928, 2.079880473278865]","[0.2588451501446602, 2.1093534845757063]","[-1.3695454374068632, -0.1013185153273104]","[-1.6012278900333068, 0.0915678440064378]","[-0.9810171259520696, 0.772044757508246]","[-0.71584255865474, 0.592419549317365]","[-1.500395195233434, 0.8568365482264014]","[-0.6298753495425472, 0.9711808959590378]","[0.9253227509881088, 2.34550182700392]","[1.1944090715461884, 2.508145342974058]"
"[-1.072944277101327, 1.3725048610873984]","[-0.3486848293167172, 2.009571710358224]","[0.4817097652402912, 2.120430233155303]","[1.4215871367586077, 2.4941916186027218]","[0.7769366749499224, 2.5183205125741677]","[-1.6561720243353428, 0.8121643055226052]","[0.1042214083668367, 2.30984547908238]","[-1.0847426999962788, 1.17753687895825]","[-1.347725372533922, -0.016308757512464744]","[-1.185445219676439, 1.4822968968762091]","[-0.9763318938429574, 1.0439006898960854]"
"[-0.3368585055096954, 2.0503020143175834]","[0.9812905463813778, 2.4641171869190073]","[0.0822876248442193, 1.1587949067417982]","[-1.883187343131268, 3.0]","[-1.7280573704701716, 0.6459035034913331]","[-1.8983699700603205, 5.0]","[-1.891391774852884, 6.0]","[-1.348685643654184, 1.7529771968640846]","[-1.4083849940453856, -0.0682109461323781]","[-1.098161487950157, 1.832363263828685]","[-1.1576862568738158, 2.5562630124751387]"
"[0.1542988740636402, 2.027494578551179]","[-1.1000258203341595, 0.04024047322965296]","[0.9589122158754746, 2.0409292561126016]","[-0.8111558572672479, 2.411968984829697]","[1.438059466667723, 2.6130183305889365]","[0.3316941711872481, 1.7899130558599232]","[-0.3012712619932653, 1.2708793596795798]","[0.782005412125103, 1.8386107866154944]","[-0.0016109262608128, 2.6350106361446253]","[-0.9202270787228064, 0.3267303671611136]","[1.0482208979378655, 2.4802223754316546]"
"[-1.3279269948401269, 2.2396915368757395]","[-1.8959374607576165, 1.860923845132794]","[-0.715666282929429, 1.68994381514556]","[-0.5343037149153408, 2.800038574919614]","[-1.2660987108726935, 0.7070155231374848]","[-0.2305312043577822, 2.168957241421524]","[-0.5433854226185169, 1.1409654861875809]","[-0.8333605511533753, 1.9543559642580828]","[0.2912981673188327, 1.4339399779516224]","[-1.1163822555757623, 0.6195259394218181]","[-1.031470910472833, 1.6166820444504637]"
"[-1.3965943232874982, 1.559429693503267]","[-0.810527833822578, 1.721679718128573]","[-0.8271181026552857, 2.555769985071988]","[-0.2747496621628033, 2.3018228412139123]","[-0.8905976431380817, 1.1339823545156258]","[-1.2661425611640198, 1.5299282673183199]","[-0.6564217884994852, 2.197575151036003]","[0.274531695525762, 1.767943036806744]","[-0.9254948163051656, 2.2168217739673235]","[0.1195137817919148, 1.3887479502374636]","[-0.0889764235951309, 1.072303087554575]"
"[-0.2800841630356961, 1.6814492456236099]","[-1.302913055424351, 2.3859372613810255]","[-0.7780050570819351, 2.0703931655231878]","[-1.883187343131268, 3.0]","[-0.1532550702561128, 1.189415880202705]","[-1.1895829438984518, 0.2984821179054983]","[-1.891391774852884, 6.0]","[-0.1847034785996542, 2.342807097402786]","[-1.0788879245542984, 0.13122255304071284]","[-1.8708523255393112, 9.0]","[0.3374232786842546, 2.2768401184831957]"
"[-0.4703631481465152, 2.5315011734512156]","[-0.2222781292047244, 1.6465629201456662]","[0.7083068695139497, 2.477161058360415]","[-1.5719270499750773, 1.5384090459732929]","[-1.3316407314958825, 1.1689142065885725]","[-1.4563625744773356, 1.5666883780122927]","[-1.6727138432077735, 2.053032677395773]","[-1.117933635502002, 0.8430942460908457]","[0.2312023478675074, 1.8616426781350355]","[-1.3887922320547237, 2.7789105158370413]","[1.0116249431505389, 2.4157453318286857]"
"[-1.8773369788574752, 1.916942970196784]","[-1.0441079494164038, 2.6745419951017912]","[-1.4179751726848226, 2.233469459864197]","[-0.7277434665105514, 2.543834506494876]","[-1.7950218251133, 0.6491576733385176]","[-1.4617059491275832, -0.4461319130753991]","[-1.7777815727636028, 0.35683449512892185]","[-1.571090362108569, 2.654318078894018]","[-1.5664407940584164, 0.5608649141773574]","[-0.0118411855440875, 2.136604339767156]","[-0.7560316283879766, 1.0595825306198587]"
"[1.0163974654686292, 2.6887557856335755]","[-1.1313139901508629, 1.2291189722965172]","[-1.903740493650988, 2.0]","[-0.8389682478447218, 0.3125330830741515]","[0.3236461828935648, 2.297655921842348]","[-1.7516237811936273, 2.0985223948324965]","[0.3752654683971329, 1.7257461473396514]","[-1.890105597825969, 7.0]","[0.0691055264327298, 1.4258515610941318]","[-0.2913865046250107, 0.7991177657342972]","[-1.5362833210755336, 2.3853332420483175]"
"[-0.278763527207258, 1.486048194924281]","[-0.5077457373854048, 1.1346170549669632]","[-1.903740493650988, 2.0]","[-1.883187343131268, 3.0]","[-0.0156006649237433, 2.1128983745100998]","[0.6705011774208774, 2.1661636785325173]","[0.6843342371419894, 2.7143034982101613]","[0.3324918747123533, 1.413922631063984]","[-0.7095602048473533, 2.2994934125252833]","[-1.3456154237346043, 1.6183797373984583]","[-0.9179227636937454, 1.3486651327467596]"
"[-0.2296937615805701, 2.105812215568627]","[-1.8959374607576165, 1.860923845132794]","[-1.903740493650988, 2.0]","[-0.0303409009910784, 1.7243383336292712]","[-1.6242409401969438, -0.214225848283772]","[0.3570946454117141, 2.175936240216328]","[-0.1485591254521814, 1.914165711330896]","[-0.7055505609657715, 1.2822290640061664]","[-0.6831716660939413, 0.6000162671339793]","[-1.8708523255393112, 9.0]","[-0.3580149323310319, 2.4241740906185263]"
"[-1.5482688219558232, 1.758278253335238]","[-0.7854457726253401, 1.725680123438169]","[-1.710663188797674, 1.1698534008053398]","[0.077926364755302, 2.400700091026896]","[-0.6985095758761797, 2.263250763815021]","[-1.8983699700603205, 5.0]","[-0.9866583270619236, 1.857486060391409]","[-0.0222341680819364, 1.0002219802903265]","[0.594124192449005, 2.2677629637223022]","[-1.25518112182958, 0.15779552695342913]","[-1.8886365873419335, 10.0]"
"[-1.5068189256840148, 1.0531909528297094]","[0.4387047040323495, 1.4924177700385453]","[-1.2580275028352526, -0.19844251535448798]","[-1.4193359128936758, 0.02079521545145757]","[-1.5438365505828762, 0.20458833225729167]","[-1.8983699700603205, 5.0]","[-1.3969041412338956, 1.6137910553844157]","[-1.6965880358726475, 2.5072041796639786]","[-0.7819974328244649, 0.3102972448205593]","[-1.8708523255393112, 9.0]","[-1.8886365873419335, 10.0]"
"[-0.8562913405426026, 1.4496423040352966]","[-0.4389636595416537, 2.301262302018129]","[-0.2930979886725667, 1.2635665256615338]","[-0.4091292244805251, 1.8149219155504306]","[-1.6307223609767274, 0.41055555353978834]","[0.6748754351976327, 2.1080023453597825]","[-1.891391774852884, 6.0]","[-1.890105597825969, 7.0]","[-0.2690795233188859, 0.9867415516528648]","[-1.047144016274688, 1.6981276265619845]","[-1.8886365873419335, 10.0]"
"[-0.4584806202819882, 1.8031179729054632]","[-1.8959374607576165, 1.860923845132794]","[0.234561124138562, 1.910005342525479]","[0.4667727013487279, 2.4473707773737865]","[-1.7172144565441758, 2.4755683229672476]","[-0.0008988124228188, 1.5252791967851838]","[-1.891391774852884, 6.0]","[-1.220384740165735, 0.9685752729295056]","[0.4297000828384481, 2.328320701908784]","[-1.4738207540434085, -0.11325973602530337]","[-1.8886365873419335, 10.0]"
"[-0.1069152422544154, 2.7056811477565343]","[-0.3862424587326506, 2.2531452134278114]","[-1.078320193614388, 1.605956768837581]","[-0.1869535362404817, 2.6984031807614617]","[-1.4642467210996262, 0.9523975729664601]","[-1.014008674249212, 0.7591083949202884]","[1.3889435817786575, 2.4506640474679786]","[0.0505599599827917, 2.3208861848329967]","[-1.6194760332873874, 1.331963282180972]","[-1.655172401117033, 2.1605082947304486]","[-0.7203634995149516, 2.360953242040639]"
"[1.644204544811442, 2.812017710979228]","[-1.1911292896827086, -0.024713035839134978]","[-1.5886892647340765, -0.0065204119197892485]","[0.2747500364472044, 1.9780529693681486]","[-0.9165547274727686, 2.1198053471621567]","[-1.8983699700603205, 5.0]","[-1.891391774852884, 6.0]","[0.4676652576377339, 2.625097382013352]","[-0.3767766668621671, 2.7183812726007015]","[0.3137841404824367, 1.8506078127876222]","[-1.8886365873419335, 10.0]"
"[0.2293613479601229, 1.2630703403857813]","[-1.6201403627492572, 1.1014322496441429]","[-1.217291835085003, 2.564722321683149]","[0.1177299994229507, 1.6649333195023375]","[-1.878924958092792, 4.0]","[1.3837891607633883, 2.4674625456738153]","[-1.3989197287509176, 0.40711380392489815]","[-0.3089422926227805, 1.8816340905451525]","[0.6008737171454313, 2.837312537207131]","[-1.8708523255393112, 9.0]","[0.0501043290407191, 2.332690527829918]"
"[-0.9215569154492383, 0.2887787731488878]","[-1.3261658859509176, 0.141842076498091]","[-0.5437040143070185, 2.016331226531485]","[-0.3607025964998088, 2.176078461110161]","[-1.3036378813560316, 1.73312984065717]","[-1.314659824988805, 0.72924190003704]","[-0.6306187844322945, 1.1543090673237728]","[0.91735177828003, 2.0618749810071444]","[-1.0794148852448275, 0.4440757213062916]","[0.0084190805297811, 2.8189419481932303]","[-1.1699480031637397, 1.672881285059088]"
"[-0.6727670041694603, 2.410941777232698]","[-1.6770639437270711, 1.9813257898048167]","[-1.1160076886719583, 0.3335535338653456]","[-0.7530595450569647, 1.921993910450194]","[-0.0662584482733904, 2.231203254907704]","[-0.2370812495732629, 1.2680783043735442]","[-0.0106366724569754, 1.5761945627811222]","[1.129206748642622, 2.598810580454351]","[-1.8770450581862477, 8.0]","[-1.163161484240567, 0.1538907378091433]","[-1.8886365873419335, 10.0]"
"[-1.6213923090754592, 0.14919338458741038]","[-1.4738030143654586, 1.3640329165330152]","[-0.6592031749977141, 2.537755142866946]","[-1.6421930020602402, 1.2154642599357013]","[-1.4540155899266016, 1.2205554916344714]","[-1.8983699700603205, 5.0]","[0.0440716528517404, 2.546558810287023]","[0.2906752141161938, 2.4546809721723646]","[-1.4638584765894165, 0.8861191803807077]","[0.8506920261040255, 2.0600154239703095]","[-1.8886365873419335, 10.0]"
"[-1.2158464223290164, 1.3616195009086631]","[-1.259610082288898, 0.11999540734765779]","[-1.6635340624033013, 1.403792304216398]","[-1.883187343131268, 3.0]","[0.1416356411869251, 2.379666426499303]","[-0.8980003616879525, 1.0240214152578746]","[-0.5339023239193229, 1.852690309400699]","[-1.890105597825969, 7.0]","[1.4068117544741356, 2.646027973523235]","[-1.8708523255393112, 9.0]","[-1.4325801404082008, 1.6232059111594168]"
"[0.5344966172687127, 2.1310726336918053]","[-1.701899703672156, 2.4149729129531]","[-1.6002971259158163, 1.4640738917943685]","[-1.883187343131268, 3.0]","[0.3459278568383232, 2.1654698756863837]","[-1.3234259579808034, 0.8026800380314795]","[-1.891391774852884, 6.0]","[-1.890105597825969, 7.0]","[-1.8770450581862477, 8.0]","[-0.7997775211046818, 1.986449956842402]","[-1.5555078822548656, 2.1439978872659116]"
"[-1.1244128538570832, 2.400079873652209]","[-1.8959374607576165, 1.860923845132794]","[-0.8655141434187681, 0.3088406640339383]","[-1.569054197738766, 0.5665821268505449]","[-0.2968068816890689, 1.8893886032221663]","[-0.1647852810907408, 1.6686755934626063]","[0.7430666615853349, 2.1651538724106603]","[-1.890105597825969, 7.0]","[-1.1276059999616732, -0.09627340290748343]","[-1.4567065226048848, -0.1700712978827319]","[-1.4398106354882152, 0.5033091079085136]"
"[-0.2108170851713524, 1.2756133389474713]","[-1.3494863362824765, 1.4992996856269452]","[-1.903740493650988, 2.0]","[-1.704546977002266, 1.4241660563432892]","[-1.4187005262468024, 0.5951974609464038]","[-0.4473019586999722, 1.1299233827038884]","[-0.6359839671189398, 1.8310541434966408]","[-1.890105597825969, 7.0]","[0.1510716712287924, 1.7136280148382856]","[-0.3399278324652942, 1.5404275873475235]","[-1.4817431324918404, 1.3719945579079988]"
"[-0.4062981734839839, 2.22662277255445]","[-1.8959374607576165, 1.860923845132794]","[-1.467072496251732, -0.4026160489980646]","[-0.837223621286392, 2.273905989617541]","[-0.8446844710405799, 2.169281906640183]","[-0.9640533576304104, 0.35091934786106127]","[-1.3582887184350472, -0.2778139342072423]","[-1.328105724195727, 1.8779272682650023]","[-0.2780760404729389, 2.4066036441147256]","[0.3026608831968143, 1.5284661965859554]","[-0.9896835485073504, 2.159316806544035]"
"[1.138723326195516, 2.3254772088386506]","[0.5134615819567079, 1.5627006416201004]","[0.3634712100890688, 1.6594309635740427]","[-0.8661316321147928, 0.6293353370629525]","[-0.9907112196109356, 1.5881054114353792]","[0.2800901304605553, 1.637993199625217]","[-1.891391774852884, 6.0]","[-0.5343097523163124, 0.9856252796305451]","[-1.8770450581862477, 8.0]","[-1.4159037216811523, 0.3074463303376781]","[-1.186312211788466, 2.152634400445918]"
"[0.5540599889272696, 2.0223679706240487]","[-1.8959374607576165, 1.860923845132794]","[-1.076994954177673, 1.0423104680235673]","[-1.883187343131268, 3.0]","[-0.7948197080205409, 0.841653815313358]","[1.501699563017838, 2.561293742228017]","[-1.891391774852884, 6.0]","[-1.3356416543952343, 0.6684690157199316]","[0.2977214110650741, 1.7411340936024646]","[0.0700166179203884, 2.4459088913186715]","[-1.5496586654155575, 0.25129378743094455]"
"[-0.2473604949706195, 1.6391549578741373]","[-0.2967001378908174, 0.917824358411704]","[-0.4049267816113578, 1.209638623848757]","[-1.3098545210771884, 2.224884204529722]","[-1.575402125463656, 0.5863687349396087]","[-0.6282193313197316, 2.2698802009753942]","[-1.4029941271269293, 0.03922919799865965]","[-0.734087800543303, 2.54727940967003]","[0.1991034677491391, 1.8924603977241814]","[-0.8079987856089494, 2.0249106446345104]","[-0.6007963806153731, 1.5874866040891487]"
"[-1.4375689401198195, 0.1753964482238447]","[-0.833995611795315, 0.6936995992530326]","[0.3680724914368147, 1.6351245310520635]","[-0.8132254659455197, 1.012781924615682]","[-1.4576062206804383, 0.04074030133910456]","[1.301623754348031, 2.7316152140960654]","[-0.8467394944174811, 1.8924183099069578]","[-1.7003254160895525, 1.1378208219034585]","[-0.4958650707270771, 1.8749564052877319]","[-1.8708523255393112, 9.0]","[-0.2310341141566428, 2.3212274005383033]"
"[-0.3753835017639174, 0.6645807753421099]","[-1.501143378702097, 1.8318948320382529]","[0.4310324919587506, 1.557366427239539]","[-0.765589065952972, 1.7946870394288452]","[-1.3487514477060571, 0.26734983590144723]","[-1.0407996626939853, 0.34885411417714485]","[-1.891391774852884, 6.0]","[-1.2319071545429183, 0.4655259441189664]","[-1.425491643922444, 1.3261150759871563]","[-0.4203682816292864, 2.277879616761802]","[0.86663516593462, 2.54385104281823]"
"[0.1636054620678752, 1.7051230908629977]","[-1.6766390821125257, 2.1539750112781757]","[-1.7542907370500236, 2.10260783439868]","[0.2971106119270469, 1.7678988929363717]","[-1.3093580715484858, -0.1681571523922929]","[-0.8235896982637079, 1.5840336668623833]","[-1.4076787778177011, 0.9043406240402209]","[-0.4380197318518142, 1.0177067657708059]","[-0.7647334574163075, 2.16354328901922]","[1.553081290558116, 2.622060093183207]","[-0.8923064929702179, 1.187368639152883]"
"[-0.439473408582471, 1.083016157987572]","[-1.5997031531801345, 0.7110406106622493]","[-1.1324218508167831, 2.1933302939669552]","[0.949651040272, 2.695043740251534]","[-0.6333168668445441, 1.6584815978098875]","[-1.8983699700603205, 5.0]","[-0.8640939915191801, 0.47621368333655045]","[-0.6443861145308395, 1.0713130719968067]","[0.463816105027313, 2.0611719117029432]","[-0.6513872152245868, 2.255944196567932]","[-0.9012912076541952, 0.1526591336468861]"
